,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
5,-122.25,37.85,52,919,213.0,413,193,4.0368,269700
13,-122.26,37.84,52,696,191.0,345,174,2.6736,191300
15,-122.26,37.85,50,1120,283.0,697,264,2.125,140000
16,-122.27,37.85,52,1966,347.0,793,331,2.775,152500
17,-122.27,37.85,52,1228,293.0,648,303,2.1202,155500
18,-122.26,37.84,50,2239,455.0,990,419,1.9911,158700
19,-122.27,37.84,52,1503,298.0,690,275,2.6033,162900
20,-122.27,37.85,40,751,184.0,409,166,1.3578,147500
21,-122.27,37.85,42,1639,367.0,929,366,1.7135,159800
22,-122.27,37.84,52,2436,541.0,1015,478,1.725,113900
23,-122.27,37.84,52,1688,337.0,853,325,2.1806,99700
24,-122.27,37.84,52,2224,437.0,1006,422,2.6,132600
25,-122.28,37.85,41,535,123.0,317,119,2.4038,107500
26,-122.28,37.85,49,1130,244.0,607,239,2.4597,93800
27,-122.28,37.85,52,1898,421.0,1102,397,1.808,105500
28,-122.28,37.84,50,2082,492.0,1131,473,1.6424,108900
29,-122.28,37.84,52,729,160.0,395,155,1.6875,132000
30,-122.28,37.84,49,1916,447.0,863,378,1.9274,122300
31,-122.28,37.84,52,2153,481.0,1168,441,1.9615,115200
32,-122.27,37.84,48,1922,409.0,1026,335,1.7969,110400
33,-122.27,37.83,49,1655,366.0,754,329,1.375,104900
34,-122.27,37.83,51,2665,574.0,1258,536,2.7303,109700
35,-122.27,37.83,49,1215,282.0,570,264,1.4861,97200
36,-122.27,37.83,48,1798,432.0,987,374,1.0972,104500
37,-122.28,37.83,52,1511,390.0,901,403,1.4103,103900
38,-122.26,37.83,52,1470,330.0,689,309,3.48,191400
40,-122.26,37.83,52,1665,419.0,946,395,2.0978,155400
41,-122.26,37.83,51,936,311.0,517,249,1.2852,150000
42,-122.26,37.84,49,713,202.0,462,189,1.025,118800
43,-122.26,37.84,52,950,202.0,467,198,3.9643,188800
44,-122.26,37.83,52,1443,311.0,660,292,3.0125,184400
45,-122.26,37.83,52,1656,420.0,718,382,2.6768,182300
46,-122.26,37.83,50,1125,322.0,616,304,2.026,142500
47,-122.27,37.82,43,1007,312.0,558,253,1.7348,137500
48,-122.26,37.82,40,624,195.0,423,160,0.9506,187500
49,-122.27,37.82,40,946,375.0,700,352,1.775,112500
50,-122.27,37.82,21,896,453.0,735,438,0.9218,171900
51,-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800
53,-122.27,37.82,52,1630,456.0,1162,400,1.2475,104200
54,-122.28,37.82,52,1170,235.0,701,233,1.6098,87500
55,-122.28,37.82,52,945,243.0,576,220,1.4113,83100
56,-122.28,37.82,52,1238,288.0,622,259,1.5057,87500
57,-122.28,37.82,52,1489,335.0,728,244,0.8172,85300
58,-122.28,37.82,52,1387,341.0,1074,304,1.2171,80300
59,-122.29,37.82,2,158,43.0,94,57,2.5625,60000
60,-122.29,37.83,52,1121,211.0,554,187,3.3929,75700
61,-122.29,37.82,49,135,29.0,86,23,6.1183,75000
